algo,k,silhouette,calinski_harabasz,davies_bouldin,valid_size
kmeans,8,0.19704163266479996,365.71399154980685,1.6011944444084016,1408
gmm,8,0.17635378484742048,422.07226830728445,1.7122298963390596,1408
