lambda1,lambda2,silhouette_valid,balance_dev_pct,build_sec,solve_sec,total_sec,sampler,selected
2.0,0.5,0.18362708479284626,63.21022727272727,1.3180220127105713,113.35896515846252,115.87382912635803,sa,True
2.0,1.0,0.18362708479284626,63.21022727272727,1.6371829509735107,113.89301609992981,116.79055690765381,sa,False
2.0,2.0,0.18362708479284626,63.21022727272727,1.445152997970581,127.12083578109741,129.53036284446716,sa,False
5.0,0.5,0.18362708479284626,63.21022727272727,1.4421980381011963,118.27898406982422,120.69999527931213,sa,False
5.0,1.0,0.18362708479284626,63.21022727272727,1.5279569625854492,149.47506618499756,152.61967206001282,sa,False
5.0,2.0,0.18362708479284626,63.21022727272727,1.188204050064087,118.05757331848145,120.18729019165039,sa,False
10.0,0.5,0.18362708479284626,63.21022727272727,0.9065122604370117,88.60850882530212,90.33385300636292,sa,False
10.0,1.0,0.18362708479284626,63.21022727272727,0.9004888534545898,104.9743001461029,106.55465507507324,sa,False
10.0,2.0,0.18362708479284626,63.21022727272727,2.353050947189331,113.38979506492615,116.66497111320496,sa,False
