algo,k,silhouette,calinski_harabasz,davies_bouldin,valid_size
kmeans,8,0.2347519198420915,369.6978586714652,1.1114057843592318,1408
gmm,8,0.2722509856602744,733.8208703783043,1.5149150849322996,1408
