feature,importance_mean,importance_std
poutcome_success,0.08892045454545452,0.010774875720745944
housing_no,0.0032670454545454366,0.002402206608705657
education_basic.4y,0.0019886363636363535,0.002634550708947637
job_retired,0.0012784090909090605,0.0036602553200923375
job_housemaid,0.0008522727272727293,0.0010438166517541825
poutcome_failure,0.0007102272727272485,0.0014204545454545416
job_self-employed,0.0005681818181817677,0.0017627377338055193
day_of_week_tue,0.00042613636363635353,0.0023166912543039785
education_basic.6y,0.00042613636363633136,0.0009633991453302754
loan_no,0.00014204545454543638,0.0015817512394403542
education_illiterate,0.0,0.0
month_dec,0.0,0.0
month_apr,0.0,0.0
default_yes,0.0,0.0
month_may,0.0,0.0
month_mar,0.0,0.0
marital_unknown,-0.00014204545454545858,0.0002840909090909172
job_blue-collar,-0.00014204545454545858,0.0011363636363636688
month_jul,-0.00014204545454545858,0.002924894926416747
day_of_week_mon,-0.0005681818181818565,0.0015817512394403542
job_management,-0.0005681818181818565,0.0013771817776751006
default_unknown,-0.0007102272727272929,0.0006352465845170038
housing_unknown,-0.0008522727272727515,0.0009422229518055381
loan_unknown,-0.0011363636363636465,0.0010629708485153189
job_services,-0.0011363636363636465,0.0015298763656632199
education_professional.course,-0.0012784090909091273,0.002959185604545421
education_basic.9y,-0.0015625000000000222,0.0023512706473361876
job_unknown,-0.0017045454545454586,0.0015944562727729804
month_aug,-0.0017045454545454807,0.002443842405409864
default_no,-0.0017045454545454807,0.0008522727272727218
job_student,-0.001846590909090917,0.0033793685378893036
job_entrepreneur,-0.0019886363636363756,0.0015166304335271724
loan_yes,-0.0021306818181818345,0.0013475615029126533
day_of_week_fri,-0.0021306818181818345,0.002460299442569447
job_unemployed,-0.00255681818181821,0.0013172753544738135
marital_divorced,-0.0026988636363636685,0.0010438166517541736
month_nov,-0.0028409090909091274,0.002154225978423746
education_unknown,-0.0029829545454545412,0.0013771817776750959
housing_yes,-0.002982954545454564,0.0032203931956689366
contact_telephone,-0.0038352272727272705,0.0020387358088646648
education_university.degree,-0.003977272727272751,0.004368908096372073
day_of_week_thu,-0.0045454545454545634,0.0022278959007610965
contact_cellular,-0.0048295454545454804,0.0026725692787254057
marital_single,-0.005255681818181835,0.002272727272727257
marital_married,-0.00568181818181821,0.0024189469269782116
job_technician,-0.005823863636363669,0.0027470283530985386
job_admin.,-0.006960227272727293,0.0023079654558624684
month_jun,-0.007386363636363647,0.006731815688109566
education_high.school,-0.007528409090909105,0.002999817057094167
poutcome_nonexistent,-0.008096590909090939,0.0017163417576128736
day_of_week_wed,-0.008522727272727293,0.0016195673651976268
month_sep,-0.013210227272727271,0.0024022066087056653
month_oct,-0.013920454545454564,0.003931350142925582
