prefix,algo,k,silhouette,calinski_harabasz,davies_bouldin,valid_size,propensity_auc,propensity_pr_auc,propensity_brier,top_decile_lift
with_sentiment,kmeans,8,0.19704163266479996,365.71399154980685,1.6011944444084016,1408,0.6549304300103306,0.6385363298829193,0.28125705457443423,1.4142857142857144
no_sentiment,kmeans,8,0.2347519198420915,369.6978586714652,1.1114057843592318,1408,0.6368438468491736,0.6303560564810848,0.28501687154235816,1.4428571428571428
